computer 1,computer 2
223.30000001192093,137.09999999403954
223.2999999821186,134.80000001192093
208.59999999403954,117.5
226.5,143
215.90000000596046,128
269.7000000178814,169.09999999403954
223.69999998807907,123.80000001192093
207.5,138.40000000596046
205.09999999403954,134.59999999403954
204.5,127.40000000596046
230.2000000178814,126.19999998807907
217,138.09999999403954
235.7000000178814,124.40000000596046
216,148.5
211.30000001192093,128.69999998807907
222.40000000596046,131.80000001192093
222.39999997615814,126.5
224.5,139.09999999403954
229.09999999403954,151.09999999403954
245.40000000596046,146.5
247.5,155.2000000178814
289.09999999403954,153.80000001192093
256.90000000596046,155.69999998807907
231.90000000596046,151.09999999403954
220.10000002384186,155.5
238.39999997615814,142.40000000596046
239.30000001192093,128.2999999821186
513.5,169.5
276.7000000178814,143.69999998807907
428.2000000178814,166
268.69999998807907,184.40000000596046
316.40000000596046,185.59999999403954
333.40000000596046,170.5
301.09999999403954,180.19999998807907
296.2000000178814,195.90000000596046
346.39999997615814,475.40000000596046
652.0999999940395,179.19999998807907
325.80000001192093,183.69999998807907
294.40000000596046,141.09999999403954
311.19999998807907,166.80000001192093
274.90000000596046,194.09999999403954
331.40000000596046,176.5
261.09999999403954,246.90000000596046
265.5,214.90000000596046
473.89999997615814,157.2000000178814
233.40000000596046,137.09999999403954
230.5,140.2999999821186
249,142.30000001192093
238.69999998807907,138.80000001192093
237,135
229.80000001192093,128.59999999403954
226.2000000178814,135.5
224.39999997615814,156.7000000178814
239,135.09999999403954
233.19999998807907,126.5
227.2999999821186,130
234.5,150
233.19999998807907,138.59999999403954
243.09999999403954,139.90000000596046
290.90000000596046,164.30000001192093
228.69999998807907,193.80000001192093
276.69999998807907,147.19999998807907
367.2000000178814,178.19999998807907
244.90000000596046,126.80000001192093
214.7999999821186,137.90000000596046
302.2000000178814,149.69999998807907
236.69999998807907,131
224.80000001192093,149.30000001192093
227.7999999821186,131.90000000596046
289.5,146.30000001192093
215,145.59999999403954
219,134.7999999821186
217.2000000178814,135.59999999403954
249.59999999403954,146
237.90000000596046,130.7000000178814
234.59999999403954,130.09999999403954
241.5,140
228.19999998807907,135.90000000596046
222.5,141.7000000178814
270.39999997615814,132.60000002384186
228.5,132.40000000596046
236.09999999403954,125.59999999403954
224.40000000596046,143.40000000596046
230,152.5
226,120
213.5,123.19999998807907
227.2000000178814,139.09999999403954
231.69999998807907,
302,126.30000001192093
237,128.39999997615814
219.7000000178814,187.7999999821186
225.2000000178814,131.5
230.5,188.90000000596046
230.09999999403954,185.90000000596046
260.5,262.89999997615814
286.80000001192093,189.59999999403954
254,164.60000002384186
275,167.19999998807907
286.59999999403954,183.19999998807907
250.30000001192093,166.5
222,126.80000001192093
228.59999999403954,131.90000000596046
254.5,129.7999999821186
372.40000000596046,
286.80000001192093,283.5
317.69999998807907,157.09999999403954
288.69999998807907,150
225,155
227.7000000178814,144.69999998807907
236.90000000596046,128.30000001192093
252.89999997615814,158.2000000178814
230.30000001192093,122.2999999821186
252.40000000596046,158.5
246.80000001192093,129.40000000596046
241.90000000596046,142.69999998807907
224.09999999403954,131.30000001192093
217.7999999821186,130
233.7999999821186,124.5
225.80000001192093,
233.30000001192093,138.39999997615814
219.7000000178814,133.09999999403954
236.60000002384186,144.19999998807907
217.09999999403954,145.10000002384186
219.69999998807907,140.90000000596046
231.5,136.7999999821186
223.90000000596046,135.90000000596046
213.40000000596046,128.7000000178814
225.09999999403954,141.5
339.40000000596046,148.7999999821186
268.7000000178814,172.69999998807907
225.2000000178814,132.2999999821186
244.80000001192093,140.09999999403954
272.5,147.10000002384186
233.09999999403954,
256.40000000596046,143.59999999403954
295.40000000596046,201.89999997615814
289.30000001192093,228.5
278.90000000596046,203.7999999821186
303.40000000596046,349.80000001192093
239.19999998807907,129
225.90000000596046,144.40000000596046
238.30000001192093,139.19999998807907
235.19999998807907,142.5
216.5,158.40000000596046
248.7000000178814,147.59999999403954
269.80000001192093,194.59999999403954
314.09999999403954,146.59999999403954
235.5,135.10000002384186
250.5,151.2999999821186
241.30000001192093,
251.30000001192093,142.7999999821186
254.7000000178814,167.59999999403954
235.69999998807907,122.2000000178814
220.19999998807907,125.2000000178814
234.2999999821186,138.5
237.7000000178814,128.2999999821186
226.60000002384186,141.5
292.19999998807907,147.90000000596046
246.59999999403954,135.60000002384186
225.39999997615814,136.30000001192093
231,132.69999998807907
231.19999998807907,156.40000000596046
239.2999999821186,121.40000000596046
216,119
225.5,142
254.09999999403954,
297.5,120
227.90000000596046,162
267.09999999403954,142.2000000178814
247.19999998807907,130.59999999403954
237.2000000178814,139.90000000596046
224.69999998807907,149.30000001192093
234.7999999821186,134.2000000178814
242.59999999403954,132.09999999403954
226.59999999403954,151.2000000178814
232,139.19999998807907
223.89999997615814,142.5
235.5,136.7999999821186
220.2000000178814,153.7999999821186
223.80000001192093,131.90000000596046
223.69999998807907,147.90000000596046
239,
249.09999999403954,132.90000000596046
254.2999999821186,123.40000000596046
231.30000001192093,122.2999999821186
231.7999999821186,122.09999999403954
225.2000000178814,153.7999999821186
227.5,142.10000002384186
233.09999999403954,144.2999999821186
231.7000000178814,144.19999998807907
249.30000001192093,137.59999999403954
229.7000000178814,147.2999999821186
270.2000000178814,126.90000000596046
245,156.5
209.40000000596046,155.7999999821186
285.5,127.89999997615814
238.40000000596046,177.80000001192093
248.59999999403954,150.80000001192093
210.19999998807907,151.90000000596046
244.09999999403954,177.09999999403954
259.69999998807907,130.40000000596046
258.19999998807907,170.5
232.80000001192093,157
292.90000000596046,172.59999999403954
237.19999998807907,139.90000000596046
242,149.7000000178814
224.69999998807907,150.5
236.7000000178814,136.2999999821186
266.5,141.90000000596046
253.09999999403954,136.7000000178814
235.09999999403954,144.5
234.5,126.5
256,135.60000002384186
244.89999997615814,139.7000000178814
246.40000000596046,141.09999999403954
230.69999998807907,131.40000000596046
237.90000000596046,151.30000001192093
251,142.7999999821186
235.5,143.2000000178814
229,155.69999998807907
253.09999999403954,136.40000000596046
236.59999999403954,150.5
235,135.5
226.7999999821186,136.2000000178814
216.89999997615814,128
240,137.30000001192093
430,215
309.40000000596046,157.90000000596046
234.09999999403954,275.5
747.8000000119209,250.2999999821186
303.80000001192093,166
283.19999998807907,184.5
376.90000000596046,152.59999999403954
304.90000000596046,175.89999997615814
275.40000000596046,150.7000000178814
273.59999999403954,171.19999998807907
283.40000000596046,143.30000001192093
291.59999999403954,142
236.2999999821186,135.09999999403954
237.09999999403954,144.19999998807907
237.7999999821186,143.2000000178814
251.59999999403954,134.90000000596046
246.09999999403954,145.40000000596046
255.09999999403954,751.9000000059605
304.40000000596046,140.59999999403954
233.09999999403954,128.5
233.09999999403954,
254.40000000596046,146.5
247.40000000596046,133.59999999403954
230,153.80000001192093
254.40000000596046,154.90000000596046
232.09999999403954,137.5
247.90000000596046,142.69999998807907
234.7000000178814,146.09999999403954
249.2000000178814,149.09999999403954
256.09999999403954,147.59999999403954
226.80000001192093,126.7999999821186
228.30000001192093,143.90000000596046
232.69999998807907,145.30000001192093
226.19999998807907,123.10000002384186
240.2999999821186,132.60000002384186
238.19999998807907,
236.80000001192093,140
250.5,147.59999999403954
236.90000000596046,140.90000000596046
237.5,136.69999998807907
234.90000000596046,140.09999999403954
233.5,135.80000001192093
233.59999999403954,141.59999999403954
238.2000000178814,135.19999998807907
231.30000001192093,143.5
243.09999999403954,131.09999999403954
224.90000000596046,147.80000001192093
257.09999999403954,148.5
236.80000001192093,134.39999997615814
246.5,149.2999999821186
253,
232,150.60000002384186
247.5,137.40000000596046
233.59999999403954,141.80000001192093
249.39999997615814,139.80000001192093
242.69999998807907,137.80000001192093
233.5,138.90000000596046
239.59999999403954,161
240.40000000596046,169
288.59999999403954,133.09999999403954
247.09999999403954,145.80000001192093
240,143.5
250.90000000596046,132.59999999403954
217.90000000596046,134
212.19999998807907,161.90000000596046
230,138
246.5,139.10000002384186
233.09999999403954,135.59999999403954
229.59999999403954,147.90000000596046
234.90000000596046,172.7999999821186
228.60000002384186,140.5
248.59999999403954,133.2999999821186
241.89999997615814,153.5
237.10000002384186,132.69999998807907
254.69999998807907,136.7000000178814
266.90000000596046,142.90000000596046
241.7999999821186,135.80000001192093
251,155.19999998807907
250,146.69999998807907
249.90000000596046,140.40000000596046
257.09999999403954,164.19999998807907
255.7000000178814,149.7999999821186
300.2000000178814,150.59999999403954
264.59999999403954,142.40000000596046
250.80000001192093,148.19999998807907
